frequency_MHz,psd_dB
2405.8145,-29.69
2405.8242,-29.90
2405.8340,-30.17
2405.8438,-30.45
2405.8535,-30.48
2405.8633,-30.51
2405.8730,-30.36
2405.8828,-30.21
2405.8926,-30.00
2405.9023,-29.78
2405.9121,-29.35
2405.9219,-28.92
2405.9316,-28.44
2405.9414,-27.95
2405.9512,-27.55
2405.9609,-27.14
2405.9707,-26.85
2405.9805,-26.55
2405.9902,-26.37
2406.0000,-26.20
2406.0098,-25.98
2406.0195,-25.76
2406.0293,-25.69
2406.0391,-25.62
2406.0488,-25.79
2406.0586,-25.95
2406.0684,-25.97
2406.0781,-25.99
2406.0879,-26.12
2406.0977,-26.25
2406.1074,-26.42
2406.1172,-26.60
2406.1270,-26.85
2406.1367,-27.09
2406.1465,-27.25
2406.1562,-27.41
2406.1660,-27.41
2406.1758,-27.42
2406.1855,-27.41
2406.1953,-27.40
2406.2051,-27.40
2406.2148,-27.40
2406.2246,-27.22
2406.2344,-27.03
2406.2441,-26.79
2406.2539,-26.55
2406.2637,-26.32
2406.2734,-26.09
2406.2832,-25.85
2406.2930,-25.61
2406.3027,-25.29
2406.3125,-24.98
2406.3223,-24.71
2406.3320,-24.44
2406.3418,-24.31
2406.3516,-24.18
2406.3613,-24.35
2406.3711,-24.53
2406.3809,-24.51
2406.3906,-24.50
2406.4004,-24.50
2406.4102,-24.51
2406.4199,-24.68
2406.4297,-24.86
2406.4395,-25.17
2406.4492,-25.48
2406.4590,-25.74
2406.4688,-26.01
2406.4785,-26.09
2406.4883,-26.16
2406.4980,-26.33
2406.5078,-26.50
2406.5176,-26.60
2406.5273,-26.70
2406.5371,-26.54
2406.5469,-26.37
2406.5566,-26.21
2406.5664,-26.05
2406.5762,-25.92
2406.5859,-25.78
2406.5957,-25.53
2406.6055,-25.29
2406.6152,-25.03
2406.6250,-24.78
2406.6348,-24.54
2406.6445,-24.30
2406.6543,-24.04
2406.6641,-23.79
2406.6738,-23.77
2406.6836,-23.74
2406.6934,-23.83
2406.7031,-23.91
2406.7129,-24.06
2406.7227,-24.20
2406.7324,-24.31
2406.7422,-24.43
2406.7520,-24.60
2406.7617,-24.77
2406.7715,-25.03
2406.7812,-25.29
2406.7910,-25.48
2406.8008,-25.68
2406.8105,-25.89
2406.8203,-26.11
2406.8301,-26.24
2406.8398,-26.37
2406.8496,-26.39
2406.8594,-26.42
2406.8691,-26.33
2406.8789,-26.23
2406.8887,-26.06
2406.8984,-25.89
2406.9082,-25.59
2406.9180,-25.28
2406.9277,-24.94
2406.9375,-24.61
2406.9473,-24.26
2406.9570,-23.91
2406.9668,-23.79
2406.9766,-23.66
2406.9863,-23.73
2406.9961,-23.79
2407.0059,-23.81
2407.0156,-23.82
2407.0254,-23.99
2407.0352,-24.15
2407.0449,-24.30
2407.0547,-24.44
2407.0645,-24.59
2407.0742,-24.74
2407.0840,-25.11
2407.0938,-25.47
2407.1035,-25.51
2407.1133,-25.54
2407.1230,-25.72
2407.1328,-25.89
2407.1426,-26.12
