frequency_MHz,psd_dB
2453.9922,-61.25
2454.0020,-61.26
2454.0117,-61.27
2454.0215,-61.23
2454.0312,-61.19
2454.0410,-61.18
2454.0508,-61.17
2454.0605,-61.22
2454.0703,-61.27
2454.0801,-61.29
2454.0898,-61.31
2454.0996,-61.30
2454.1094,-61.30
2454.1191,-61.26
2454.1289,-61.21
2454.1387,-61.15
2454.1484,-61.09
2454.1582,-61.11
2454.1680,-61.13
2454.1777,-61.12
2454.1875,-61.11
2454.1973,-61.06
2454.2070,-61.01
2454.2168,-61.01
2454.2266,-61.02
2454.2363,-61.04
2454.2461,-61.07
2454.2559,-61.07
2454.2656,-61.07
2454.2754,-61.06
2454.2852,-61.05
2454.2949,-61.08
2454.3047,-61.10
2454.3145,-61.08
2454.3242,-61.06
2454.3340,-61.03
2454.3438,-61.00
2454.3535,-60.98
2454.3633,-60.96
2454.3730,-60.97
2454.3828,-60.99
2454.3926,-60.98
2454.4023,-60.97
2454.4121,-60.96
2454.4219,-60.95
2454.4316,-60.91
2454.4414,-60.87
2454.4512,-60.87
2454.4609,-60.86
2454.4707,-60.85
2454.4805,-60.84
2454.4902,-60.83
2454.5000,-60.82
2454.5098,-60.82
2454.5195,-60.82
2454.5293,-60.79
2454.5391,-60.75
2454.5488,-60.74
2454.5586,-60.73
2454.5684,-60.72
2454.5781,-60.72
2454.5879,-60.72
2454.5977,-60.72
2454.6074,-60.73
2454.6172,-60.74
2454.6270,-60.72
2454.6367,-60.71
2454.6465,-60.73
2454.6562,-60.75
2454.6660,-60.74
2454.6758,-60.74
2454.6855,-60.74
2454.6953,-60.73
2454.7051,-60.72
2454.7148,-60.70
2454.7246,-60.70
2454.7344,-60.71
2454.7441,-60.69
2454.7539,-60.67
2454.7637,-60.64
2454.7734,-60.60
2454.7832,-60.58
2454.7930,-60.56
2454.8027,-60.54
2454.8125,-60.52
2454.8223,-60.54
2454.8320,-60.55
2454.8418,-60.59
2454.8516,-60.62
2454.8613,-60.65
2454.8711,-60.67
2454.8809,-60.67
2454.8906,-60.66
2454.9004,-60.67
2454.9102,-60.67
2454.9199,-60.66
2454.9297,-60.66
2454.9395,-60.67
2454.9492,-60.68
2454.9590,-60.68
2454.9688,-60.69
2454.9785,-60.71
2454.9883,-60.73
2454.9980,-60.73
2455.0078,-60.72
2455.0176,-60.76
2455.0273,-60.81
2455.0371,-60.81
2455.0469,-60.81
2455.0566,-60.75
2455.0664,-60.70
2455.0762,-60.72
2455.0859,-60.75
2455.0957,-60.71
2455.1055,-60.67
2455.1152,-60.69
2455.1250,-60.72
2455.1348,-60.76
2455.1445,-60.80
2455.1543,-60.79
2455.1641,-60.77
2455.1738,-60.73
2455.1836,-60.70
2455.1934,-60.69
2455.2031,-60.69
2455.2129,-60.71
2455.2227,-60.73
2455.2324,-60.74
2455.2422,-60.75
2455.2520,-60.80
2455.2617,-60.85
2455.2715,-60.85
2455.2812,-60.86
2455.2910,-60.85
2455.3008,-60.85
2455.3105,-60.84
2455.3203,-60.82
2455.3301,-60.78
2455.3398,-60.75
2455.3496,-60.76
2455.3594,-60.77
2455.3691,-60.77
2455.3789,-60.76
2455.3887,-60.77
2455.3984,-60.78
2455.4082,-60.78
2455.4180,-60.78
2455.4277,-60.78
