frequency_MHz,psd_dB
2427.9922,-62.09
2428.0020,-62.06
2428.0117,-62.03
2428.0215,-62.04
2428.0312,-62.05
2428.0410,-62.09
2428.0508,-62.12
2428.0605,-62.12
2428.0703,-62.13
2428.0801,-62.07
2428.0898,-62.02
2428.0996,-61.99
2428.1094,-61.96
2428.1191,-61.95
2428.1289,-61.94
2428.1387,-61.93
2428.1484,-61.92
2428.1582,-61.94
2428.1680,-61.96
2428.1777,-61.94
2428.1875,-61.92
2428.1973,-61.93
2428.2070,-61.94
2428.2168,-61.95
2428.2266,-61.96
2428.2363,-61.91
2428.2461,-61.85
2428.2559,-61.84
2428.2656,-61.83
2428.2754,-61.89
2428.2852,-61.94
2428.2949,-61.94
2428.3047,-61.94
2428.3145,-61.92
2428.3242,-61.89
2428.3340,-61.92
2428.3438,-61.95
2428.3535,-61.95
2428.3633,-61.95
2428.3730,-61.95
2428.3828,-61.95
2428.3926,-61.96
2428.4023,-61.96
2428.4121,-61.96
2428.4219,-61.96
2428.4316,-61.91
2428.4414,-61.87
2428.4512,-61.84
2428.4609,-61.81
2428.4707,-61.81
2428.4805,-61.82
2428.4902,-61.78
2428.5000,-61.74
2428.5098,-61.71
2428.5195,-61.67
2428.5293,-61.65
2428.5391,-61.63
2428.5488,-61.70
2428.5586,-61.77
2428.5684,-61.74
2428.5781,-61.71
2428.5879,-61.70
2428.5977,-61.69
2428.6074,-61.71
2428.6172,-61.73
2428.6270,-61.70
2428.6367,-61.67
2428.6465,-61.66
2428.6562,-61.64
2428.6660,-61.65
2428.6758,-61.66
2428.6855,-61.66
2428.6953,-61.66
2428.7051,-61.71
2428.7148,-61.75
2428.7246,-61.70
2428.7344,-61.64
2428.7441,-61.57
2428.7539,-61.49
2428.7637,-61.45
2428.7734,-61.40
2428.7832,-61.40
2428.7930,-61.40
2428.8027,-61.35
2428.8125,-61.30
2428.8223,-61.26
2428.8320,-61.22
2428.8418,-61.21
2428.8516,-61.21
2428.8613,-61.16
2428.8711,-61.10
2428.8809,-61.06
2428.8906,-61.02
2428.9004,-61.00
2428.9102,-60.98
2428.9199,-61.03
2428.9297,-61.09
2428.9395,-61.08
2428.9492,-61.07
2428.9590,-61.08
2428.9688,-61.09
2428.9785,-61.02
2428.9883,-60.96
2428.9980,-61.00
2429.0078,-61.04
2429.0176,-61.05
2429.0273,-61.07
2429.0371,-61.07
2429.0469,-61.06
2429.0566,-61.07
2429.0664,-61.08
2429.0762,-61.09
2429.0859,-61.10
2429.0957,-61.00
2429.1055,-60.91
2429.1152,-60.85
2429.1250,-60.79
2429.1348,-60.76
2429.1445,-60.73
2429.1543,-60.70
2429.1641,-60.68
2429.1738,-60.65
2429.1836,-60.62
2429.1934,-60.63
2429.2031,-60.65
2429.2129,-60.67
2429.2227,-60.70
2429.2324,-60.71
2429.2422,-60.71
2429.2520,-60.75
2429.2617,-60.79
2429.2715,-60.77
2429.2812,-60.74
2429.2910,-60.82
2429.3008,-60.90
2429.3105,-60.86
2429.3203,-60.82
2429.3301,-60.82
2429.3398,-60.81
2429.3496,-60.84
2429.3594,-60.87
2429.3691,-60.87
2429.3789,-60.86
2429.3887,-60.89
2429.3984,-60.91
2429.4082,-60.89
2429.4180,-60.87
2429.4277,-60.75
2429.4375,-60.64
2429.4473,-60.61
2429.4570,-60.58
2429.4668,-60.56
2429.4766,-60.54
2429.4863,-60.46
2429.4961,-60.37
2429.5059,-60.31
2429.5156,-60.25
2429.5254,-60.21
2429.5352,-60.17
2429.5449,-60.20
2429.5547,-60.23
2429.5645,-60.27
2429.5742,-60.30
2429.5840,-60.37
2429.5938,-60.43
2429.6035,-60.47
2429.6133,-60.51
2429.6230,-60.53
2429.6328,-60.56
2429.6426,-60.56
2429.6523,-60.56
2429.6621,-60.59
2429.6719,-60.61
2429.6816,-60.56
2429.6914,-60.51
2429.7012,-60.52
2429.7109,-60.52
2429.7207,-60.49
2429.7305,-60.47
2429.7402,-60.44
2429.7500,-60.41
2429.7598,-60.41
2429.7695,-60.40
2429.7793,-60.37
2429.7891,-60.34
2429.7988,-60.26
2429.8086,-60.18
2429.8184,-60.15
2429.8281,-60.11
2429.8379,-60.05
2429.8477,-60.00
2429.8574,-60.00
2429.8672,-60.00
2429.8770,-60.08
2429.8867,-60.17
2429.8965,-60.18
2429.9062,-60.19
2429.9160,-60.16
2429.9258,-60.13
2429.9355,-60.11
2429.9453,-60.10
2429.9551,-60.11
2429.9648,-60.13
2429.9746,-60.15
2429.9844,-60.18
2429.9941,-60.15
2430.0039,-60.12
2430.0137,-60.08
2430.0234,-60.04
2430.0332,-60.01
2430.0430,-59.98
2430.0527,-59.98
2430.0625,-59.98
2430.0723,-59.97
2430.0820,-59.95
2430.0918,-59.86
2430.1016,-59.76
2430.1113,-59.77
