time_s,mbps,retransmits
0,19.865691003352993,0
1.002882,34.61062236266545,0
2.002662,36.72509693257904,0
3.001983,40.85022253922738,0
4.003066,38.776372057947334,0
5.003606,41.93217781376013,0
6.003865,39.2910568021945,0
7.017986,37.288459724962664,0
8.002209,36.685597031017146,0
9.002606,34.59159376636966,0
10.002936,34.58398571286021,0
11.003486,41.965869919740996,0
12.002942,37.69230947221945,0
13.004439,35.20622479966059,0
14.017089,39.3727041478013,0
15.002475,36.71572847646126,0
16.002051,37.73933784040682,0
17.0023,37.773137263097375,0
18.001654,39.77282471835543,0
19.003491,37.74118651014852,0
20.003691,38.77803995288996,0
21.004188,39.903629428114556,0
22.002741,40.89515869930108,0
23.002724,37.808396642905485,0
24.001146,36.619230730386896,0
25.003356,41.92320938032852,0
26.003829,27.29562229584482,0
27.002633,38.82942449499727,0
28.001806,38.81217781889774,0
29.001423,35.63462182404144,0
