time_s,rtt_ms
0.000,2.000
0.200,15.000
0.401,11.000
0.600,10.000
0.800,11.000
1.000,10.000
1.201,10.000
1.400,10.000
1.600,10.000
1.800,2.000
2.000,10.000
2.200,10.000
2.401,10.000
2.601,3.000
2.800,10.000
3.001,10.000
3.200,10.000
3.400,3.000
3.601,4.000
3.800,4.000
4.000,8.000
4.200,10.000
4.401,10.000
4.600,9.000
4.800,11.000
5.000,10.000
5.200,10.000
5.400,10.000
5.601,10.000
5.800,11.000
6.001,11.000
6.200,11.000
6.400,13.000
6.600,10.000
6.800,28.000
7.000,3.000
7.200,3.000
7.400,5.000
7.600,4.000
7.801,5.000
8.001,5.000
8.200,14.000
8.400,10.000
8.600,10.000
8.800,12.000
9.001,2.000
9.201,3.000
9.401,10.000
9.600,12.000
9.800,10.000
10.000,10.000
10.201,10.000
10.400,10.000
10.600,15.000
10.800,11.000
11.000,10.000
11.201,10.000
11.400,10.000
11.600,21.000
11.800,10.000
12.001,11.000
12.200,5.000
12.400,4.000
12.600,11.000
12.801,12.000
13.000,11.000
13.200,15.000
13.400,12.000
13.601,14.000
13.800,10.000
14.001,11.000
14.200,10.000
14.400,13.000
14.600,10.000
14.801,10.000
15.001,12.000
15.200,5.000
15.400,3.000
15.601,3.000
15.800,3.000
16.001,2.000
16.200,10.000
16.400,4.000
16.601,8.000
16.800,9.000
17.000,11.000
17.201,11.000
17.400,10.000
17.600,2.000
17.800,10.000
18.000,10.000
18.200,44.000
18.400,4.000
18.600,9.000
18.800,11.000
19.000,10.000
19.200,9.000
19.400,10.000
19.600,12.000
19.800,10.000
20.001,10.000
20.201,10.000
20.400,10.000
20.600,11.000
20.800,4.000
21.001,7.000
21.200,10.000
21.400,10.000
21.601,10.000
21.801,10.000
22.001,10.000
22.201,10.000
22.400,10.000
22.600,10.000
22.801,10.000
23.000,11.000
23.201,18.000
23.400,2.000
23.600,3.000
23.800,3.000
24.001,2.000
24.200,10.000
24.400,10.000
24.600,10.000
24.800,4.000
25.000,4.000
25.201,4.000
25.400,2.000
25.600,11.000
25.800,11.000
26.000,10.000
26.200,10.000
26.400,10.000
26.600,10.000
26.801,15.000
27.000,10.000
27.200,10.000
27.401,10.000
27.600,9.000
27.801,10.000
28.001,10.000
28.201,10.000
28.401,13.000
28.600,10.000
28.800,8.000
29.000,12.000
29.201,12.000
29.400,4.000
29.600,10.000
29.801,10.000
