time_s,rtt_ms
0.000,62.000
0.200,
0.821,12.000
0.859,55.000
0.932,4.000
1.000,7.000
1.200,2.000
1.401,2.000
1.600,11.000
1.801,15.000
2.001,17.000
2.200,6.000
2.401,12.000
2.600,6.000
2.801,5.000
3.001,6.000
3.200,15.000
3.400,
4.323,
5.320,51.000
5.398,466.000
5.899,245.000
6.162,93.000
6.269,172.000
6.455,
7.316,958.000
8.289,
8.827,659.000
9.508,9.000
9.534,6.000
9.559,34.000
9.610,64.000
9.693,23.000
9.735,84.000
9.837,16.000
9.873,21.000
9.908,47.000
9.973,141.000
10.137,239.000
10.395,353.000
10.765,6.000
10.788,9.000
10.809,46.000
10.870,11.000
10.899,
11.824,
12.821,
13.822,
14.818,
15.831,226.000
16.087,
16.829,
17.824,183.000
18.022,54.000
18.105,
18.822,
19.819,
20.824,
21.830,
22.822,
23.826,
24.818,
25.829,
26.819,
27.818,
28.825,
29.825,2.000
29.844,2.000
29.861,2.000
29.884,3.000
29.910,2.000
29.930,7.000
29.957,22.000
29.999,2.000
