frequency_MHz,psd_dB
935.5098,-58.14
935.5107,-58.31
935.5117,-58.47
935.5127,-58.57
935.5137,-58.66
935.5146,-58.55
935.5156,-58.43
935.5166,-58.29
935.5176,-58.15
935.5186,-58.14
935.5195,-58.13
935.5205,-58.28
935.5215,-58.43
935.5225,-58.51
935.5234,-58.60
935.5244,-58.66
935.5254,-58.73
935.5264,-58.72
935.5273,-58.72
935.5283,-58.57
935.5293,-58.43
935.5303,-58.44
935.5312,-58.44
935.5322,-58.33
935.5332,-58.21
935.5342,-58.23
935.5352,-58.25
935.5361,-58.36
935.5371,-58.48
935.5381,-58.52
935.5391,-58.55
935.5400,-58.60
935.5410,-58.64
935.5420,-58.52
935.5430,-58.39
935.5439,-58.34
935.5449,-58.29
935.5459,-58.20
935.5469,-58.11
935.5479,-57.97
935.5488,-57.84
935.5498,-57.77
935.5508,-57.69
935.5518,-57.99
935.5527,-58.29
935.5537,-58.52
935.5547,-58.75
935.5557,-58.66
935.5566,-58.56
935.5576,-58.57
935.5586,-58.57
935.5596,-58.65
935.5605,-58.72
935.5615,-58.68
935.5625,-58.65
935.5635,-58.58
935.5645,-58.52
935.5654,-58.45
935.5664,-58.38
935.5674,-58.57
935.5684,-58.76
935.5693,-58.91
935.5703,-59.07
935.5713,-59.06
935.5723,-59.06
935.5732,-58.86
935.5742,-58.66
935.5752,-58.47
935.5762,-58.27
935.5771,-58.31
935.5781,-58.35
935.5791,-58.41
935.5801,-58.47
935.5811,-58.49
935.5820,-58.52
935.5830,-58.65
935.5840,-58.79
935.5850,-58.83
935.5859,-58.87
935.5869,-58.79
935.5879,-58.70
935.5889,-58.56
935.5898,-58.41
935.5908,-58.30
935.5918,-58.20
935.5928,-58.13
935.5938,-58.06
935.5947,-58.05
935.5957,-58.05
935.5967,-58.09
935.5977,-58.13
935.5986,-58.20
935.5996,-58.28
935.6006,-58.54
935.6016,-58.81
935.6025,-58.79
935.6035,-58.76
935.6045,-58.54
935.6055,-58.31
935.6064,-58.40
935.6074,-58.49
935.6084,-58.54
935.6094,-58.59
935.6104,-58.57
935.6113,-58.56
935.6123,-58.54
935.6133,-58.53
935.6143,-58.56
935.6152,-58.59
935.6162,-58.73
935.6172,-58.86
935.6182,-58.82
935.6191,-58.77
935.6201,-58.64
935.6211,-58.50
935.6221,-58.30
935.6230,-58.10
935.6240,-58.18
935.6250,-58.27
935.6260,-58.45
935.6270,-58.63
935.6279,-58.62
935.6289,-58.62
935.6299,-58.52
935.6309,-58.42
935.6318,-58.50
935.6328,-58.58
935.6338,-58.45
935.6348,-58.33
935.6357,-58.20
935.6367,-58.08
935.6377,-58.02
935.6387,-57.96
935.6396,-58.02
935.6406,-58.08
935.6416,-58.18
935.6426,-58.29
935.6436,-58.42
935.6445,-58.55
935.6455,-58.49
935.6465,-58.42
935.6475,-58.53
935.6484,-58.64
935.6494,-58.63
935.6504,-58.63
935.6514,-58.43
935.6523,-58.23
935.6533,-58.17
935.6543,-58.12
935.6553,-58.26
935.6562,-58.40
935.6572,-58.54
935.6582,-58.68
935.6592,-58.75
935.6602,-58.81
935.6611,-58.72
935.6621,-58.64
935.6631,-58.64
935.6641,-58.65
935.6650,-58.58
935.6660,-58.52
935.6670,-58.40
935.6680,-58.28
935.6689,-58.18
935.6699,-58.08
935.6709,-58.08
935.6719,-58.08
935.6729,-58.33
935.6738,-58.57
935.6748,-58.64
935.6758,-58.70
935.6768,-58.48
935.6777,-58.26
935.6787,-58.12
935.6797,-57.98
935.6807,-58.01
935.6816,-58.04
935.6826,-57.98
935.6836,-57.91
935.6846,-57.90
935.6855,-57.88
935.6865,-57.99
935.6875,-58.10
935.6885,-58.28
935.6895,-58.46
935.6904,-58.51
935.6914,-58.55
935.6924,-58.55
935.6934,-58.54
935.6943,-58.46
935.6953,-58.38
935.6963,-58.32
935.6973,-58.26
935.6982,-58.15
935.6992,-58.04
935.7002,-58.05
935.7012,-58.05
935.7021,-58.19
935.7031,-58.34
935.7041,-58.50
935.7051,-58.67
935.7061,-58.69
935.7070,-58.72
935.7080,-58.62
935.7090,-58.53
935.7100,-58.43
935.7109,-58.32
935.7119,-58.30
935.7129,-58.28
935.7139,-58.36
935.7148,-58.45
935.7158,-58.46
935.7168,-58.47
935.7178,-58.32
935.7188,-58.16
935.7197,-58.27
935.7207,-58.37
935.7217,-58.44
935.7227,-58.50
935.7236,-58.34
935.7246,-58.18
935.7256,-57.91
935.7266,-57.65
935.7275,-57.65
935.7285,-57.65
935.7295,-57.76
935.7305,-57.86
935.7314,-58.00
935.7324,-58.13
935.7334,-58.18
935.7344,-58.22
935.7354,-58.39
935.7363,-58.56
935.7373,-58.57
935.7383,-58.57
935.7393,-58.49
935.7402,-58.40
935.7412,-58.40
935.7422,-58.40
935.7432,-58.39
935.7441,-58.38
935.7451,-58.40
935.7461,-58.41
935.7471,-58.37
935.7480,-58.32
935.7490,-58.48
935.7500,-58.63
935.7510,-58.69
935.7520,-58.76
935.7529,-58.62
935.7539,-58.48
935.7549,-58.47
935.7559,-58.45
935.7568,-58.40
935.7578,-58.36
935.7588,-58.36
935.7598,-58.36
935.7607,-58.51
935.7617,-58.67
935.7627,-58.71
935.7637,-58.76
935.7646,-58.44
935.7656,-58.11
935.7666,-58.02
935.7676,-57.92
935.7686,-58.16
935.7695,-58.40
935.7705,-58.32
935.7715,-58.25
935.7725,-58.05
935.7734,-57.86
935.7744,-57.94
935.7754,-58.02
935.7764,-58.13
935.7773,-58.25
935.7783,-58.39
935.7793,-58.54
935.7803,-58.52
935.7812,-58.51
935.7822,-58.48
935.7832,-58.46
935.7842,-58.49
935.7852,-58.53
935.7861,-58.50
935.7871,-58.46
935.7881,-58.44
935.7891,-58.41
935.7900,-58.44
935.7910,-58.47
935.7920,-58.59
935.7930,-58.72
935.7939,-58.66
935.7949,-58.60
935.7959,-58.53
935.7969,-58.46
935.7979,-58.54
935.7988,-58.63
935.7998,-58.57
935.8008,-58.51
935.8018,-58.50
935.8027,-58.50
935.8037,-58.48
935.8047,-58.46
935.8057,-58.44
935.8066,-58.43
935.8076,-58.56
935.8086,-58.68
935.8096,-58.74
935.8105,-58.80
935.8115,-58.63
935.8125,-58.47
935.8135,-57.85
935.8145,-57.24
935.8154,-57.51
935.8164,-57.78
935.8174,-57.92
935.8184,-58.06
935.8193,-58.06
935.8203,-58.07
935.8213,-58.15
935.8223,-58.23
935.8232,-58.43
935.8242,-58.63
935.8252,-58.75
935.8262,-58.87
935.8271,-58.89
935.8281,-58.92
935.8291,-58.80
935.8301,-58.69
935.8311,-58.62
935.8320,-58.54
935.8330,-58.53
935.8340,-58.51
935.8350,-58.58
935.8359,-58.65
935.8369,-58.68
935.8379,-58.71
935.8389,-58.83
935.8398,-58.95
935.8408,-58.94
935.8418,-58.94
935.8428,-58.80
935.8438,-58.66
935.8447,-58.56
935.8457,-58.46
935.8467,-58.43
935.8477,-58.40
935.8486,-58.50
935.8496,-58.60
935.8506,-58.63
935.8516,-58.65
935.8525,-58.61
935.8535,-58.57
935.8545,-58.57
935.8555,-58.58
935.8564,-58.63
935.8574,-58.68
935.8584,-58.58
935.8594,-58.48
935.8604,-58.12
935.8613,-57.76
935.8623,-57.55
935.8633,-57.35
935.8643,-57.68
935.8652,-58.01
935.8662,-58.19
935.8672,-58.37
935.8682,-58.38
935.8691,-58.40
935.8701,-58.36
935.8711,-58.33
935.8721,-58.60
935.8730,-58.87
935.8740,-58.90
935.8750,-58.93
935.8760,-58.82
935.8770,-58.71
935.8779,-58.69
935.8789,-58.66
935.8799,-58.68
935.8809,-58.70
935.8818,-58.82
935.8828,-58.95
935.8838,-59.00
935.8848,-59.05
935.8857,-58.98
935.8867,-58.92
935.8877,-58.88
935.8887,-58.85
935.8896,-58.64
935.8906,-58.43
935.8916,-58.45
935.8926,-58.47
935.8936,-58.41
935.8945,-58.35
935.8955,-58.48
935.8965,-58.61
935.8975,-58.67
935.8984,-58.72
935.8994,-58.66
935.9004,-58.60
935.9014,-58.27
935.9023,-57.93
935.9033,-58.09
935.9043,-58.24
935.9053,-58.23
935.9062,-58.22
935.9072,-58.01
935.9082,-57.81
935.9092,-57.80
935.9102,-57.80
935.9111,-58.09
935.9121,-58.38
935.9131,-58.55
935.9141,-58.71
935.9150,-58.80
935.9160,-58.89
935.9170,-58.67
935.9180,-58.44
935.9189,-58.48
935.9199,-58.51
935.9209,-58.56
935.9219,-58.62
935.9229,-58.55
935.9238,-58.48
935.9248,-58.35
935.9258,-58.22
935.9268,-58.29
935.9277,-58.36
935.9287,-58.55
935.9297,-58.75
935.9307,-58.76
935.9316,-58.78
935.9326,-58.70
935.9336,-58.62
935.9346,-58.55
935.9355,-58.49
935.9365,-58.34
935.9375,-58.19
935.9385,-58.15
935.9395,-58.11
935.9404,-58.23
935.9414,-58.35
935.9424,-58.37
935.9434,-58.38
935.9443,-58.48
935.9453,-58.58
935.9463,-58.52
935.9473,-58.45
935.9482,-58.16
935.9492,-57.87
935.9502,-57.68
935.9512,-57.48
935.9521,-57.65
935.9531,-57.81
935.9541,-57.81
935.9551,-57.80
935.9561,-57.67
935.9570,-57.54
