center_MHz,f_start_MHz,f_stop_MHz,width_MHz,peak_MHz,peak_dB,above_floor_dB
2437.772,2437.602,2437.943,0.352,2437.758,-48.836,6.473
2438.837,2438.725,2438.949,0.234,2438.754,-48.995,6.314
